batch_size,learning_rate_bert,learning_rate_audio,learning_rate_video,learning_rate_other,weight_decay_bert,weight_decay_other,weight_decay_audio,weight_decay_video,text_out,audio_out,video_out,t_bert_dropout,post_fusion_dim,post_text_dim,post_audio_dim,post_video_dim,post_fusion_dropout,post_text_dropout,post_audio_dropout,post_video_dropout,H,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
16.0,5e-05,0.0001,0.0001,0.001,0.01,0.01,0.0,0.01,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.0,0.0,0.1,3.0,78.79,79.57,84.23,84.31,56.24,54.56,53.25,76.17,53.2
32.0,5e-05,0.0001,0.0001,0.001,0.001,0.01,0.001,0.01,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.1,0.0,0.1,3.0,80.64,81.27,85.17,85.21,54.88,53.27,53.14,76.76,53.13
32.0,5e-05,0.001,0.0001,0.0001,0.01,0.001,0.0,0.01,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.1,0.0,0.1,3.0,80.62,81.21,85.17,85.17,55.93,54.2,53.08,76.95,53.04
32.0,5e-05,0.001,0.001,0.001,0.01,0.001,0.01,0.001,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.0,0.0,0.0,3.0,84.03,84.12,84.95,84.75,54.86,53.21,54.3,75.52,54.32
16.0,5e-05,0.0001,0.001,0.0001,0.001,0.001,0.0,0.001,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.1,0.1,0.0,3.0,78.49,79.32,84.37,84.47,55.38,53.75,53.56,76.48,53.56
32.0,5e-05,0.0001,0.001,0.0001,0.01,0.01,0.001,0.001,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.1,0.0,0.1,3.0,81.2,81.64,85.0,84.92,56.02,54.5,53.64,75.8,53.67
32.0,5e-05,0.001,0.005,0.0001,0.001,0.01,0.01,0.01,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.0,0.1,0.0,3.0,76.6,77.64,82.42,82.66,54.6,52.97,54.55,75.12,54.61
32.0,5e-05,0.001,0.005,0.001,0.01,0.001,0.01,0.001,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.0,0.1,0.1,3.0,83.19,82.54,82.28,81.37,53.25,51.9,56.58,74.72,56.59
16.0,5e-05,0.0001,0.0001,0.0001,0.01,0.01,0.01,0.001,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.0,0.1,0.0,3.0,81.07,81.64,85.44,85.46,55.33,53.66,54.19,75.63,54.15
16.0,5e-05,0.005,0.001,0.001,0.01,0.001,0.0,0.0,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.0,0.0,0.1,3.0,78.51,79.23,83.19,83.22,53.6,52.22,57.07,72.65,57.02
16.0,5e-05,0.001,0.001,0.0001,0.001,0.01,0.0,0.001,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.0,0.1,0.0,3.0,82.16,82.57,85.42,85.35,56.11,54.39,53.25,76.84,53.36
16.0,5e-05,0.005,0.005,0.001,0.01,0.001,0.001,0.01,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.0,0.1,0.1,3.0,81.07,81.48,84.56,84.46,54.48,52.89,55.96,73.01,55.9
32.0,5e-05,0.005,0.005,0.0001,0.01,0.001,0.0,0.01,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.0,0.0,0.0,3.0,82.85,82.99,85.42,85.16,54.07,52.31,54.47,76.48,54.46
32.0,5e-05,0.0001,0.005,0.0001,0.01,0.01,0.0,0.01,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.1,0.0,0.1,0.0,3.0,83.32,82.93,83.24,82.57,54.35,52.93,56.9,73.24,56.94
16.0,5e-05,0.001,0.001,0.0001,0.001,0.001,0.0,0.001,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.1,0.0,0.0,3.0,79.8,80.38,83.74,83.72,53.72,52.14,56.17,73.3,56.16
32.0,5e-05,0.001,0.005,0.001,0.001,0.01,0.0,0.0,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.1,0.0,0.1,0.1,3.0,78.41,79.24,84.31,84.41,54.93,53.23,54.27,76.16,54.33
32.0,5e-05,0.0001,0.0001,0.0001,0.01,0.001,0.0,0.01,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.0,0.0,0.1,3.0,78.77,79.53,83.46,83.55,53.6,52.11,56.47,72.93,56.49
