batch_size,learning_rate_bert,learning_rate_audio,learning_rate_video,learning_rate_other,weight_decay_bert,weight_decay_other,weight_decay_audio,weight_decay_video,text_out,audio_out,video_out,t_bert_dropout,post_fusion_dim,post_text_dim,post_audio_dim,post_video_dim,post_fusion_dropout,post_text_dropout,post_audio_dropout,post_video_dropout,H,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
32.0,5e-05,0.0001,0.001,0.001,0.001,0.001,0.001,0.0,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.1,0.0,0.1,3.0,76.8,77.79,83.43,83.61,54.84,53.21,53.55,77.08,53.59
16.0,5e-05,0.005,0.005,0.0001,0.01,0.001,0.001,0.001,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.1,0.1,0.1,0.1,3.0,78.0,78.13,79.66,79.2,51.06,49.99,61.14,66.87,61.14
16.0,5e-05,0.0001,0.001,0.001,0.001,0.001,0.0,0.01,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.0,0.1,0.0,3.0,83.58,83.83,85.94,85.82,55.53,54.02,52.97,76.82,53.01
32.0,5e-05,0.001,0.001,0.001,0.01,0.01,0.01,0.01,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.0,0.1,0.1,3.0,82.66,82.88,85.42,85.22,55.38,53.7,53.48,76.38,53.48
32.0,5e-05,0.0001,0.0001,0.0001,0.01,0.001,0.0,0.001,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.1,0.0,0.1,3.0,80.64,81.16,84.45,84.42,54.5,53.21,54.47,75.59,54.45
32.0,5e-05,0.0001,0.0001,0.001,0.01,0.001,0.0,0.001,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.0,0.1,0.0,3.0,83.47,83.46,85.2,84.84,54.78,53.12,54.29,75.65,54.24
32.0,5e-05,0.0001,0.001,0.0001,0.001,0.01,0.0,0.0,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.1,0.0,0.0,3.0,82.03,82.4,85.53,85.41,55.96,54.24,52.73,76.83,52.7
16.0,5e-05,0.005,0.005,0.001,0.001,0.01,0.001,0.0,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.0,0.0,0.1,3.0,82.27,82.53,84.2,84.06,54.78,53.08,56.06,72.9,56.1
32.0,5e-05,0.001,0.001,0.0001,0.001,0.01,0.01,0.001,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.1,0.1,0.0,3.0,81.05,81.69,85.83,85.89,55.38,53.57,52.97,77.28,53.0
32.0,5e-05,0.0001,0.001,0.001,0.001,0.01,0.01,0.01,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.0,0.1,0.1,3.0,81.61,82.0,85.33,85.22,54.84,53.02,54.22,76.07,54.21
16.0,5e-05,0.005,0.0001,0.001,0.001,0.001,0.001,0.01,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.0,0.1,0.0,3.0,77.01,77.87,82.31,82.4,52.5,51.21,56.92,72.62,56.89
32.0,5e-05,0.0001,0.005,0.001,0.01,0.01,0.001,0.001,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.1,0.0,0.1,3.0,80.62,81.18,83.68,83.72,53.47,51.84,56.84,72.4,56.85
32.0,5e-05,0.001,0.005,0.0001,0.001,0.001,0.001,0.0,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.1,0.0,0.0,3.0,80.81,81.28,84.42,84.35,54.48,52.87,54.81,74.58,54.83
16.0,5e-05,0.0001,0.005,0.001,0.001,0.001,0.001,0.001,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.0,0.0,0.0,3.0,79.22,79.92,83.43,83.5,53.27,51.64,56.48,73.59,56.44
16.0,5e-05,0.001,0.0001,0.001,0.01,0.001,0.0,0.001,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.0,0.0,0.1,3.0,79.31,79.85,82.88,82.82,53.75,52.26,57.12,71.35,57.07
16.0,5e-05,0.0001,0.001,0.0001,0.01,0.001,0.01,0.01,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.1,0.1,0.1,3.0,82.36,82.7,86.1,85.97,55.05,53.44,53.68,76.36,53.69
32.0,5e-05,0.001,0.005,0.0001,0.01,0.01,0.01,0.0,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.0,0.1,0.1,3.0,81.76,82.24,85.72,85.69,54.88,53.36,54.01,75.96,53.99
