batch_size,learning_rate_bert,learning_rate_audio,learning_rate_video,learning_rate_other,weight_decay_bert,weight_decay_other,weight_decay_audio,weight_decay_video,text_out,audio_out,video_out,t_bert_dropout,post_fusion_dim,post_text_dim,post_audio_dim,post_video_dim,post_fusion_dropout,post_text_dropout,post_audio_dropout,post_video_dropout,H,Mult_acc_2,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr,Loss
16.0,5e-05,0.001,0.001,0.001,0.01,0.001,0.001,0.001,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.1,0.0,0.0,0.1,3.0,76.15,63.68,38.07,76.17,45.49,55.87,45.44
32.0,5e-05,0.001,0.0001,0.0001,0.01,0.01,0.01,0.001,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.1,0.1,0.0,0.1,3.0,76.59,63.46,36.54,77.2,44.24,56.03,44.29
16.0,5e-05,0.001,0.0001,0.0001,0.001,0.001,0.001,0.0,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.1,0.1,0.1,3.0,78.77,65.21,40.92,79.12,42.21,59.31,42.5
32.0,5e-05,0.0001,0.0001,0.001,0.01,0.01,0.01,0.001,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.0,0.0,0.0,3.0,79.43,66.74,45.08,78.9,41.58,59.96,41.54
16.0,5e-05,0.001,0.001,0.001,0.001,0.01,0.01,0.001,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.0,0.0,0.1,3.0,77.02,63.89,43.76,77.09,42.26,56.4,42.5
16.0,5e-05,0.005,0.005,0.001,0.001,0.001,0.0,0.01,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.1,0.0,0.0,3.0,78.34,61.71,41.58,78.36,43.5,54.25,44.56
32.0,5e-05,0.001,0.0001,0.0001,0.01,0.01,0.001,0.0,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.1,0.0,0.1,3.0,79.21,63.89,41.58,79.42,42.13,59.4,42.47
16.0,5e-05,0.001,0.005,0.001,0.001,0.01,0.01,0.0,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.0,0.0,0.0,3.0,76.15,58.42,38.51,75.86,46.81,46.67,47.38
32.0,5e-05,0.001,0.005,0.0001,0.01,0.01,0.01,0.01,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.1,0.1,0.1,3.0,77.46,65.65,42.23,77.69,42.29,58.09,42.59
32.0,5e-05,0.0001,0.0001,0.001,0.01,0.001,0.0,0.0,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.0,0.1,0.1,3.0,77.9,64.11,40.7,77.47,42.67,57.7,42.13
32.0,5e-05,0.005,0.001,0.001,0.001,0.01,0.01,0.001,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.1,0.1,0.0,3.0,78.99,66.52,43.76,79.19,42.8,56.91,42.02
32.0,5e-05,0.005,0.0001,0.0001,0.001,0.01,0.001,0.001,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.0,0.0,0.0,3.0,79.21,63.68,38.95,79.52,42.8,57.64,43.11
16.0,5e-05,0.005,0.005,0.001,0.001,0.01,0.01,0.001,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.1,0.1,0.0,3.0,77.02,64.99,41.58,77.13,45.61,54.44,45.55
16.0,5e-05,0.001,0.005,0.001,0.01,0.01,0.0,0.01,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.0,0.1,0.0,3.0,78.34,62.8,42.89,78.36,42.5,55.7,42.44
16.0,5e-05,0.0001,0.001,0.001,0.001,0.01,0.0,0.001,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.0,0.1,0.1,3.0,77.9,64.33,44.2,76.9,43.22,56.66,42.98
