batch_size,learning_rate_bert,learning_rate_audio,learning_rate_video,learning_rate_other,weight_decay_bert,weight_decay_other,weight_decay_audio,weight_decay_video,text_out,audio_out,video_out,t_bert_dropout,post_fusion_dim,post_text_dim,post_audio_dim,post_video_dim,post_fusion_dropout,post_text_dropout,post_audio_dropout,post_video_dropout,H,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
16.0,5e-05,0.005,0.005,0.0001,0.01,0.01,0.001,0.01,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.1,0.0,0.1,0.1,3.0,81.78,81.69,83.69,83.67,51.02,43.15,73.37,77.87,73.49
32.0,5e-05,0.001,0.0001,0.001,0.01,0.01,0.001,0.0,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.1,0.1,0.1,3.0,81.63,81.61,83.23,83.26,49.27,43.0,75.26,79.56,75.46
32.0,5e-05,0.001,0.001,0.0001,0.001,0.001,0.0,0.0,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.1,0.1,0.0,3.0,82.22,82.1,84.3,84.25,54.96,47.67,71.62,78.89,71.8
16.0,5e-05,0.001,0.005,0.0001,0.01,0.01,0.001,0.0,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.1,0.1,0.1,0.0,3.0,80.61,80.65,82.01,82.11,51.6,44.02,74.78,79.27,74.84
16.0,5e-05,0.0001,0.0001,0.001,0.01,0.01,0.001,0.0,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.1,0.1,0.0,0.0,3.0,81.49,81.44,83.23,83.25,53.64,46.36,72.0,78.93,72.01
32.0,5e-05,0.001,0.0001,0.0001,0.01,0.01,0.0,0.0,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.1,0.1,0.0,3.0,80.47,80.5,81.71,81.8,49.56,42.13,74.41,78.48,74.08
32.0,5e-05,0.001,0.001,0.001,0.01,0.01,0.001,0.01,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.1,0.0,0.0,0.1,3.0,81.92,81.96,83.08,83.16,49.42,43.73,74.22,79.02,74.04
32.0,5e-05,0.0001,0.001,0.0001,0.001,0.01,0.0,0.01,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.0,0.1,0.1,3.0,83.67,83.6,85.37,85.34,53.06,46.94,72.0,79.34,72.12
32.0,5e-05,0.0001,0.0001,0.001,0.001,0.001,0.01,0.0,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.1,0.0,0.0,0.1,3.0,81.49,81.51,82.93,83.0,50.15,42.71,74.69,79.09,75.14
16.0,5e-05,0.005,0.005,0.0001,0.01,0.01,0.01,0.01,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.0,0.1,0.1,3.0,81.78,81.72,83.23,83.22,49.71,43.0,76.01,77.76,76.02
